id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	token_p_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.0400	1	0.20	0.084		629.18	1383.47	2336.85	43.32
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.0400	2	0.35	0.136		1082.31	1847.17	2662.31	41.61
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.0400	3	0.50	0.188		781.97	1492.02	2461.69	45.03
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.0400	4	0.65	0.239		839.79	1390.14	2095.32	44.52
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	130.250	130.610	0.0400	5	0.80	0.291		683.28	1338.90	2611.16	44.02
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.1410	1	0.20	0.092		850.72	1857.87	2941.79	39.74
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.1410	2	0.35	0.150		823.43	1690.36	2789.66	39.57
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.1410	3	0.50	0.207		832.24	1862.88	2960.73	39.67
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.1410	4	0.65	0.265		903.60	2083.55	2802.36	39.42
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	495.730	496.130	0.1410	5	0.80	0.323		819.21	1587.71	2765.65	41.74
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.0642	1	0.20	0.062	477.79	483.39	1515.00	2722.18	59.65
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.0642	2	0.35	0.097	493.42	759.24	1962.80	2751.60	69.25
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.0642	3	0.50	0.133	496.31	519.27	1905.25	2031.70	67.42
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.0642	4	0.65	0.168	492.75	494.96	1981.47	2741.89	65.53
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	105.970	106.220	0.0642	5	0.80	0.203	495.52	501.73	1843.12	2215.78	64.20
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	97.930	98.360	0.2285	1	0.20	0.098	469.42	474.09	1789.46	1966.97	68.24
