id_persona	forma	interval_escolta	clip	token_start_abs	token_end_abs	centre_rel_s	token_p_min	f0_hz	f1_hz	f2_hz	f3_hz
pa-009	o sigui	234.25-238.75	clips/pa-009__o-sigui__234.25.wav	236.340	236.620	2.230	0.2538		573.66	1688.40	2921.06
pa-014	o sigui	658.45-674.95	clips/pa-014__o-sigui__658.45.wav	662.050	662.490	3.820	0.3085	130.08	453.18	1618.27	2244.02
pa-045	o sigui	226.17-233.31	clips/pa-045__o-sigui__226.17.wav	226.170	227.080	0.455	0.0197		860.57	1729.97	2758.71
pa-048	o sigui	581.65-585.99	clips/pa-048__o-sigui__581.65.wav	581.650	582.180	0.265	0.0333		1293.68	2216.19	3567.97
pa-049	o sigui	365.21-373.35	clips/pa-049__o-sigui__365.21.wav	367.450	367.650	2.340	0.1235		621.76	1710.72	2589.16
pa-063	o sigui	826.09-830.95	clips/pa-063__o-sigui__826.09.wav	826.090	826.630	0.270	0.0141	167.62	391.44	886.76	2541.21
pa-065	o sigui	191.65-195.15	clips/pa-065__o-sigui__191.65.wav	191.650	191.940	0.145	0.1835		736.49	2333.77	2955.48
pa-007	llavors	657.25-663.75	clips/pa-007__llavors__657.25.wav	658.460	658.940	1.450	0.3703	135.59	457.53	1833.97	2926.85
pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	386.850	387.350	0.850	0.1879		1677.22	1754.70	3075.18
pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	94.990	95.950	2.940	0.5622	132.98	398.92	1881.43	2214.21
pa-063	llavors	39.49-44.79	clips/pa-063__llavors__39.49.wav	42.960	43.530	3.755	0.6341	151.31	318.49	1489.94	2355.95
pa-002	a veure	126.25-132.75	clips/pa-002__a-veure__126.25.wav	126.260	127.930	0.845	0.0293	86.91	405.28	1304.49	2424.95
pa-007	a veure	89.25-96.75	clips/pa-007__a-veure__89.25.wav	90.220	90.720	1.220	0.9386	156.76	343.25	1318.30	2746.37
pa-008	a veure	668.25-673.75	clips/pa-008__a-veure__668.25.wav	670.060	670.740	2.150	0.9329	160.21	492.62	1769.45	3053.54
pa-011	a veure	551.81-556.27	clips/pa-011__a-veure__551.81.wav	554.360	555.260	3.000	0.4741	228.71	431.48	1528.42	2047.22
pa-022	a veure	238.61-245.15	clips/pa-022__a-veure__238.61.wav	240.450	241.040	2.135	0.3322	85.29	400.91	1822.27	2502.76
pa-023	a veure	268.81-272.59	clips/pa-023__a-veure__268.81.wav	268.820	269.360	0.280	0.0671		755.11	1855.73	2647.72
pa-025	a veure	388.01-395.23	clips/pa-025__a-veure__388.01.wav	388.010	388.600	0.295	0.1413	95.53	407.98	935.93	2579.17
pa-030	a veure	673.41-676.91	clips/pa-030__a-veure__673.41.wav	673.410	673.750	0.170	0.0484	199.03	394.12	2004.34	2384.94
pa-034	a veure	94.05-100.39	clips/pa-034__a-veure__94.05.wav	96.370	97.050	2.660	0.3355	134.20	533.51	2156.77	2815.35
pa-036	a veure	153.05-160.15	clips/pa-036__a-veure__153.05.wav	154.530	155.030	1.730	0.0770	97.37	267.34	1060.53	2463.87
pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	343.880	343.960	2.990	0.6922	90.72	624.19	1362.01	2119.59
pa-048	a veure	393.93-397.03	clips/pa-048__a-veure__393.93.wav	395.570	395.650	1.680	0.0946	100.68	562.15	1657.40	2881.92
pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	253.270	253.450	7.170	0.5898				
pa-056	a veure	673.21-676.71	clips/pa-056__a-veure__673.21.wav	673.210	673.620	0.205	0.1281	148.47	717.16	1206.26	2285.36
pa-061	a veure	579.17-583.39	clips/pa-061__a-veure__579.17.wav	581.490	581.990	2.570	0.1631	129.80	574.08	2310.77	3290.10
pa-020	aviam	252.21-256.43	clips/pa-020__aviam__252.21.wav	254.590	255.110	2.640	0.1295		757.95	2009.85	3266.70
pa-005	doncs	71.13-77.11	clips/pa-005__doncs__71.13.wav	71.130	71.610	0.240	0.7138		660.94	1919.19	3573.11
pa-009	doncs	139.25-145.75	clips/pa-009__doncs__139.25.wav	139.250	139.520	0.135	0.5082		400.71	1679.16	2431.25
pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	26.720	27.080	2.250	0.7622		1806.47	1840.29	3654.27
pa-015	doncs	83.25-87.75	clips/pa-015__doncs__83.25.wav	84.340	84.600	1.220	0.7675	248.32	363.71	849.96	2546.15
pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	67.290	67.290	4.960	0.8933	166.24	428.62	1615.03	2690.04
