id_persona	forma	interval_escolta	clip	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	4.500	0.5446	-51.91	-30.09	-20.27	0.0318	0.2249	146.29	160.32	1031.32	2513.80	6	0.100	60
pa-019	perquè	101.25-105.75	clips/pa-019__perqu__101.25.wav	4.500	0.4554	-48.56	-37.02	-24.46	0.0297	0.3080	156.05	81.18	1174.06	2922.23	11	0.080	52
pa-020	aviam	252.21-256.43	clips/pa-020__aviam__252.21.wav	4.220	0.6000	-53.73	-30.15	-19.16	0.0469	0.3751	203.16	89.78	1106.67	3355.50	9	0.100	63
pa-020	bé	146.37-152.31	clips/pa-020__b__146.37.wav	5.940	0.3784	-63.53	-37.33	-30.14	0.0258	0.1917	172.86	14.09	1130.93	2336.42	15	0.130	57
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	4.500	0.4152	-62.46	-37.41	-24.07	0.0360	0.1393	201.97	108.39	1283.85	2144.99	14	0.060	50
pa-020	perquè	9.41-12.91	clips/pa-020__perqu__9.41.wav	3.500	0.6437	-51.91	-30.77	-22.79	0.0380	0.2811	194.77	48.67	962.86	3053.85	12	0.060	55
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	4.620	0.5870	-58.95	-31.19	-23.50	0.0423	0.1596	235.82	119.20	1086.43	2228.05	9	0.050	67
pa-021	bé	257.61-263.59	clips/pa-021__b__257.61.wav	5.980	0.4799	-58.95	-35.67	-21.72	0.0407	0.1757	232.22	119.81	1185.54	2162.01	12	0.120	71
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	4.500	0.6562	-51.50	-28.76	-19.18	0.0376	0.1690	184.66	154.39	908.87	2318.03	15	0.060	73
pa-021	doncs	12.25-16.87	clips/pa-021__doncs__12.25.wav	4.620	0.5870	-58.95	-31.19	-23.50	0.0423	0.1596	235.82	119.20	1086.43	2228.05	9	0.050	67
