id_persona	font	canal	url	llicencia	consulta	derivat	asr	estat
pa-052	Rosa Vidal — Vides de muntanya. Ramaderia d'alçada	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0017.mp4.info	© - Només per ús educatiu.	2026-09-23.	`../audios/pa-052/audio.wav`; SHA-256 `c3fd41a358567d3b08823c9a91b09cba9cacbba4090c4853dd2f0213361e8629`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-053	Pere Torres — Vides de muntanya. Ramaderia d'alçada	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0011.mp4.info	© - Només per ús educatiu.	2026-09-23.	`../audios/pa-053/audio.wav`; SHA-256 `73aba10ee9260dc84d9ad83af8dabc56d2c8c34f27e8784852418c352ac178f2`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-054	Trini Mandicó Baró — Vides de dones	Arxiu d'Etnografia d'Andorra / Arxiu Nacional d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0029.mp4.info	© - Només per ús educatiu.	2026-09-23.	`../audios/pa-054/audio.wav`; SHA-256 `548fac0ff932cae80b6ea58b34e95a2dda663b71f0f6312d5a7722b1bc4fc9ec`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-055	#ConsellConstituent - Ramon Canut Bové	Consell General	https://www.youtube.com/watch?v=kLeQ6UJthLI	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-055/audio.wav`; SHA-256 `fc0986af099c3de7e1ed60bc4b7e40e7245ef1e0513c38f35a232eae47fc8942`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-056	#ConsellConstituent - Enric Dolsa Font	Consell General	https://www.youtube.com/watch?v=OrPvKUYQUXY	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-056/audio.wav`; SHA-256 `ccd7b0ec989e06e9a91999f87b06da3821a4922aa86411db1d78b7ab0c65c6ea`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-057	#ConsellConstituent - Gabriel Dallerès Codina	Consell General	https://www.youtube.com/watch?v=mZtfU5LUTzg	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-057/audio.wav`; SHA-256 `3e13cbede1c75c4a89f78e6142944eff936c95679e12253bf6336de59d91f5ad`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-058	#ConsellConstituent - Miquel Aleix Areny	Consell General	https://www.youtube.com/watch?v=cWNPFoyNRxs	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-058/audio.wav`; SHA-256 `5d198a606ba75797a915956604036d018b80725d4fabf7539b4098744e12d8cc`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-059	#ConsellConstituent - Nadia Aleix Tugas	Consell General	https://www.youtube.com/watch?v=_GRn2R7IOTs	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-059/audio.wav`; SHA-256 `5e135a788d2b7ee3cbb8969d8f957a47c15c45503b50d619cb42910b4cdb9625`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-060	#ConsellConstituent - Antoni Armengol Vila	Consell General	https://www.youtube.com/watch?v=JbOnYORyYLo	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-060/audio.wav`; SHA-256 `ba5a7bd35c1abe97027998db976ee1ec556ab996c57ef506818b23ab6bf79fda`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-061	IDENTITATS: PATRICK PÉREZ	RTVA Andorra	https://www.youtube.com/watch?v=2QI-1wTQjfM	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-061/audio.wav`; SHA-256 `81ffd8a44dbd6c621875ebd43e12c963e7076ccee8c62c99bce83c6834445e26`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-062	IDENTITATS: JORDI MARQUET	RTVA Andorra	https://www.youtube.com/watch?v=0evP1gRQKzI	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-062/audio.wav`; SHA-256 `0b735e8436f16e13d6b6923f11ab69a2d9e8b96e3fab0a0ac818790cf14a4c7e`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-063	IDENTITATS: ROSER JORDANA	RTVA Andorra	https://www.youtube.com/watch?v=j0yGAJtaLA8	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-063/audio.wav`; SHA-256 `95c6ef60b5bbf2b81cdf6a4b226efb98fd4dc9da032de79e4b251124ea32300f`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-064	IDENTITATS: DANIEL ARMENGOL	RTVA Andorra	https://www.youtube.com/watch?v=p7NRiPLEFPo	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-064/audio.wav`; SHA-256 `72d8f2aaf4becefb744f1e3001732cfb84b533b07963ec785959bde5f1752aa1`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-065	IDENTITATS: MOSSÈN RAMON DE CANILLO	RTVA Andorra	https://www.youtube.com/watch?v=n0QqCxTzFSA	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-065/audio.wav`; SHA-256 `6e7b16df0285f51a190280ea6abb18624dfcb73dd93d79e441b2e309254ebb35`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
pa-066	La memòria dels aiguats: entrevista a Carles Sasplugas	RTVA Andorra	https://www.youtube.com/watch?v=bPZugFJMhl4	no declarada; llicència estàndard de YouTube.	2026-09-24.	`../audios/pa-066/audio.wav`; SHA-256 `1cd8cbe8cfc71cfaabf1c759d20970d801b792a48018010b810375d48f87bfd3`.	`whisper-cli`, model `ggml-small.bin`, llengua `ca`, 8 fils.	complet
