id_persona	forma	clip	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	prob_mean	centre_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	estat
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	4.030	4.120	662.480	662.570	0.6862	0.8267	4.075	108.48	467.77	1866.05	2369.32	token QA; no és consens de dos models; pendent d'audició
pa-014	perquè	clips/pa-014__perqu__105.85.wav	2.390	2.810	108.240	108.660	0.8193	0.8193	2.600	168.07	501.33	1958.09	2492.23	token QA; no és consens de dos models; pendent d'audició
pa-015	doncs	clips/pa-015__doncs__83.25.wav	1.130	1.530	84.380	84.780	0.8466	0.9220	1.330		1655.08	2889.62	3626.41	token QA; no és consens de dos models; pendent d'audició
pa-015	perquè	clips/pa-015__perqu__86.25.wav	2.000	2.480	88.250	88.730	0.4134	0.4134	2.240	278.47	550.24	2233.90	3081.49	token QA; no és consens de dos models; pendent d'audició
pa-016	a nivell	clips/pa-016__a-nivell__333.81.wav	3.610	4.160	337.420	337.970	0.7040	0.8911	3.885		805.40	1709.20	2867.97	token QA; no és consens de dos models; pendent d'audició
pa-016	a veure	clips/pa-016__a-veure__369.73.wav	1.210	2.120	370.940	371.850	0.5117	0.7539	1.665	179.11	695.50	1509.90	2725.11	token QA; no és consens de dos models; pendent d'audició
pa-016	bé	clips/pa-016__b__170.05.wav	5.940	6.280	175.990	176.330	0.9990	0.9990	6.110		767.66	1918.85	2839.31	token QA; no és consens de dos models; pendent d'audició
pa-016	clar	clips/pa-016__clar__175.69.wav	1.640	1.990	177.330	177.680	0.9439	0.9439	1.815	170.89	484.94	1190.58	2462.03	token QA; no és consens de dos models; pendent d'audició
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	2.270	2.360	320.800	320.890	0.5592	0.7741	2.315	142.38	523.52	1846.52	2483.13	token QA; no és consens de dos models; pendent d'audició
pa-016	doncs	clips/pa-016__doncs__62.33.wav	4.880	5.070	67.210	67.400	0.5311	0.5311	4.975	159.77	461.47	1414.88	2669.69	token QA; no és consens de dos models; pendent d'audició
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	0.220	1.050	457.070	457.900	0.7723	0.8821	0.635		797.79	1956.70	3187.13	token QA; no és consens de dos models; pendent d'audició
pa-016	llavors	clips/pa-016__llavors__15.05.wav	0.080	0.530	15.130	15.580	0.7574	0.8734	0.305		325.21	1715.95	3554.47	token QA; no és consens de dos models; pendent d'audició
pa-016	perquè	clips/pa-016__perqu__79.77.wav	2.190	2.860	81.960	82.630	0.8479	0.8479	2.525		813.58	2050.14	2985.58	token QA; no és consens de dos models; pendent d'audició
pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	2.990	3.120	325.520	325.650	0.4016	0.6989	3.055	142.08	445.28	2244.61	2620.75	token QA; no és consens de dos models; pendent d'audició
pa-017	a nivell	clips/pa-017__a-nivell__143.25.wav	3.360	3.840	146.610	147.090	0.7278	0.8996	3.600	161.22	484.04	2081.18	2536.33	token QA; no és consens de dos models; pendent d'audició
pa-017	clar	clips/pa-017__clar__34.45.wav	3.900	4.130	38.350	38.580	0.9757	0.9757	4.015		877.05	1934.95	3178.95	token QA; no és consens de dos models; pendent d'audició
pa-017	doncs	clips/pa-017__doncs__459.25.wav	1.340	1.630	460.590	460.880	0.9049	0.9520	1.485	179.57	535.38	1090.69	2887.19	token QA; no és consens de dos models; pendent d'audició
pa-017	llavors	clips/pa-017__llavors__361.25.wav	1.080	1.830	362.330	363.080	0.7556	0.8677	1.455		503.46	1618.85	3043.99	token QA; no és consens de dos models; pendent d'audició
pa-017	perquè	clips/pa-017__perqu__4.25.wav	2.150	2.640	6.400	6.890	0.6669	0.6669	2.395	136.00	547.52	2298.62	2735.19	token QA; no és consens de dos models; pendent d'audició
pa-017	tirar endavant	clips/pa-017__tirar-endavant__49.85.wav	2.520	2.800	52.370	52.650	0.2057	0.7058	2.660	165.36	776.27	1807.60	3107.29	token QA; no és consens de dos models; pendent d'audició
pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	0.000	0.750	272.250	273.000	0.6073	0.8683	0.375	149.50	331.18	1820.17	2635.01	token QA; no és consens de dos models; pendent d'audició
pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	1.520	1.710	488.770	488.960	0.4956	0.8279	1.615	157.49	374.10	2101.48	3249.60	token QA; no és consens de dos models; pendent d'audició
pa-018	crec	clips/pa-018__crec__7.49.wav	1.060	1.450	8.550	8.940	0.9969	0.9969	1.255	132.11	280.86	1944.35	2432.62	token QA; no és consens de dos models; pendent d'audició
pa-018	diguem	clips/pa-018__diguem__715.49.wav	2.430	2.720	717.920	718.210	0.4794	0.6877	2.575	139.52	376.01	1839.23	2573.60	token QA; no és consens de dos models; pendent d'audició
pa-018	perquè	clips/pa-018__perqu__91.09.wav	1.070	1.760	92.160	92.850	0.9663	0.9663	1.415		657.39	1698.80	2850.42	token QA; no és consens de dos models; pendent d'audició
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	3.350	3.830	125.600	126.080	0.9056	0.9516	3.590	90.41	383.80	2110.96	2848.96	token QA; no és consens de dos models; pendent d'audició
pa-019	bueno	clips/pa-019__bueno__328.25.wav	0.320	0.600	328.570	328.850	0.1975	0.1975	0.460		828.56	1695.17	3099.12	token QA; no és consens de dos models; pendent d'audició
pa-019	bé	clips/pa-019__b__195.25.wav	5.410	5.600	200.660	200.850	0.9932	0.9932	5.505		828.25	1682.88	2647.25	token QA; no és consens de dos models; pendent d'audició
pa-019	crec	clips/pa-019__crec__27.25.wav	1.270	1.570	28.520	28.820	0.9925	0.9925	1.420	71.90	592.68	1227.67	2307.88	token QA; no és consens de dos models; pendent d'audició
pa-019	diguem	clips/pa-019__diguem__109.25.wav	1.230	1.610	110.480	110.860	0.9362	0.9453	1.420	111.25	402.10	1711.43	2803.91	token QA; no és consens de dos models; pendent d'audició
pa-019	evidentment	clips/pa-019__evidentment__93.25.wav	2.080	2.940	95.330	96.190	0.7612	0.8792	2.510	81.01	555.88	1922.19	2161.21	token QA; no és consens de dos models; pendent d'audició
pa-019	llavors	clips/pa-019__llavors__422.25.wav	3.760	4.150	426.010	426.400	0.9040	0.9465	3.955	95.58	351.12	1804.64	3335.20	token QA; no és consens de dos models; pendent d'audició
pa-020	aviam	clips/pa-020__aviam__252.21.wav	3.060	3.400	255.270	255.610	0.1339	0.4173	3.230	120.35	495.07	1810.49	2561.87	token QA; no és consens de dos models; pendent d'audició
pa-020	bé	clips/pa-020__b__146.37.wav	3.090	3.410	149.460	149.780	0.9976	0.9976	3.250	79.16	418.16	1749.66	2333.66	token QA; no és consens de dos models; pendent d'audició
pa-020	clar	clips/pa-020__clar__89.81.wav	3.480	3.620	93.290	93.430	0.5345	0.5345	3.550	136.79	518.68	1068.51	2203.93	token QA; no és consens de dos models; pendent d'audició
pa-020	perquè	clips/pa-020__perqu__9.41.wav	0.030	0.410	9.440	9.820	0.1574	0.1574	0.220		1485.98	2096.07	3085.92	token QA; no és consens de dos models; pendent d'audició
pa-021	bueno	clips/pa-021__bueno__12.25.wav	1.950	2.400	14.200	14.650	0.6500	0.6500	2.175	134.51	607.48	1099.97	2789.96	token QA; no és consens de dos models; pendent d'audició
pa-021	crec	clips/pa-021__crec__115.53.wav	0.800	1.060	116.330	116.590	0.9550	0.9550	0.930	124.35	527.62	2056.23	3683.17	token QA; no és consens de dos models; pendent d'audició
pa-021	doncs	clips/pa-021__doncs__12.25.wav	3.660	3.750	15.910	16.000	0.7531	0.8764	3.705		1096.85	2591.96	3692.28	token QA; no és consens de dos models; pendent d'audició
pa-021	evidentment	clips/pa-021__evidentment__211.41.wav	0.510	1.640	211.920	213.050	0.4338	0.7163	1.075		1303.60	2312.36	2671.52	token QA; no és consens de dos models; pendent d'audició
pa-021	perquè	clips/pa-021__perqu__15.45.wav	1.670	2.000	17.120	17.450	0.8815	0.8815	1.835	180.15	346.00	1487.94	2855.49	token QA; no és consens de dos models; pendent d'audició
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	3.710	4.840	318.000	319.130	0.7440	0.8676	4.275	134.88	453.62	902.78	3100.86	token QA; no és consens de dos models; pendent d'audició
pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	1.130	2.120	33.420	34.410	0.3647	0.7847	1.625		1436.94	2556.24	3639.97	token QA; no és consens de dos models; pendent d'audició
pa-022	a veure	clips/pa-022__a-veure__238.61.wav	2.000	2.500	240.610	241.110	0.3096	0.6496	2.250		982.35	1166.89	2373.00	token QA; no és consens de dos models; pendent d'audició
pa-022	clar	clips/pa-022__clar__107.73.wav	1.380	1.580	109.110	109.310	0.9951	0.9951	1.480	125.72	657.85	1267.06	2548.47	token QA; no és consens de dos models; pendent d'audició
pa-022	crec	clips/pa-022__crec__243.73.wav	0.210	0.360	243.940	244.090	0.9941	0.9941	0.285		1615.47	2579.88	4077.49	token QA; no és consens de dos models; pendent d'audició
pa-022	evidentment	clips/pa-022__evidentment__303.01.wav	0.000	1.230	303.010	304.240	0.2581	0.7485	0.615		451.23	1467.68	2632.83	token QA; no és consens de dos models; pendent d'audició
pa-022	o sigui	clips/pa-022__o-sigui__42.93.wav	0.000	0.540	42.930	43.470	0.0430	0.5146	0.270	107.90	500.32	1357.28	2390.81	token QA; no és consens de dos models; pendent d'audició
pa-022	perquè	clips/pa-022__perqu__111.69.wav	0.000	0.470	111.690	112.160	0.2534	0.2534	0.235		595.17	1533.96	2648.78	token QA; no és consens de dos models; pendent d'audició
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	2.700	3.400	128.230	128.930	0.6595	0.8106	3.050	120.08	412.42	1343.62	2307.46	token QA; no és consens de dos models; pendent d'audició
pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	3.800	4.560	15.290	16.050	0.1417	0.6980	4.180	97.75	104.92	1853.69	3076.84	token QA; no és consens de dos models; pendent d'audició
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	1.300	1.800	419.870	420.370	0.8081	0.9214	1.550	140.15	566.70	1786.47	2561.78	token QA; no és consens de dos models; pendent d'audició
pa-023	a veure	clips/pa-023__a-veure__268.81.wav	0.010	0.510	268.820	269.320	0.1996	0.5001	0.260		632.84	1856.14	3211.37	token QA; no és consens de dos models; pendent d'audició
pa-023	perquè	clips/pa-023__perqu__29.09.wav	0.000	0.940	29.090	30.030	0.1482	0.1482	0.470	121.80	516.71	1829.91	2737.29	token QA; no és consens de dos models; pendent d'audició
