id_persona	nom_public	titol_font	serie	url	video_id	estat	durada	notes
pa-035	Josep Marsal Riba	Testimoni del Consell Constituent — Josep Marsal Riba	cg-constituent-marsal	https://youtu.be/JGV9XtZYPcw	JGV9XtZYPcw	metadata-ok	1029	font localitzada; àudio i biografia lingüística pendents
pa-036	Jordi Mas Torres	Testimoni del Consell Constituent — Jordi Mas Torres	cg-constituent-mastorres	https://youtu.be/s_36ug5eNZo	s_36ug5eNZo	metadata-ok	720	font localitzada; àudio i biografia lingüística pendents
pa-037	Miquel Naudi Casal	Testimoni del Consell Constituent — Miquel Naudi Casal	cg-constituent-naudi	https://youtu.be/muwgxm-fqPo	muwgxm-fqPo	metadata-ok	503	font localitzada; àudio i biografia lingüística pendents
pa-038	Maria Reig Moles	Testimoni del Consell Constituent — Maria Reig Moles	cg-constituent-reig	https://youtu.be/XW1B7wFV3E0	XW1B7wFV3E0	metadata-ok	2176	font localitzada; àudio i biografia lingüística pendents
pa-039	Joan Santamaria Terré	Testimoni del Consell Constituent — Joan Santamaria Terré	cg-constituent-santamaria	https://youtu.be/52o5NYxlbWY	52o5NYxlbWY	metadata-ok	654	font localitzada; àudio i biografia lingüística pendents
pa-040	Jordi Torres Alís	Testimoni del Consell Constituent — Jordi Torres Alís	cg-constituent-torresalis	https://youtu.be/4jPROROmH5k	4jPROROmH5k	metadata-ok	250	font localitzada; àudio i biografia lingüística pendents
pa-041	Mercè Segura	Els primers 30: entrevista Mercè Segura	rtva	https://www.youtube.com/watch?v=hGVDNoc9D0I	hGVDNoc9D0I	metadata-ok	692	font localitzada; metadades pendents
pa-042	Cielo	Els primers 30: entrevista Cielo, cuinera de l’Escola Andorrana	rtva	https://www.youtube.com/watch?v=0kBz9DT59lU	0kBz9DT59lU	metadata-ok	419	font localitzada; metadades pendents
pa-043	Irene Clua	Els primers 30: entrevista Irene Clua	rtva	https://www.youtube.com/watch?v=d8BRIvEwyD8	d8BRIvEwyD8	metadata-ok	148	font localitzada; metadades pendents
pa-044	Casimir Arajol	IDENTITATS: CASIMIR ARAJOL	rtva	https://www.youtube.com/watch?v=H8TM9cpxjNI	H8TM9cpxjNI	metadata-ok	1606	font localitzada; metadades pendents
pa-045	Eudald Guillamet	IDENTITATS: EUDALD GUILLAMET	rtva	https://www.youtube.com/watch?v=kO-xG3sget4	kO-xG3sget4	metadata-ok	1608	font localitzada; metadades pendents
pa-046	Josep Areny	IDENTITATS: JOSEP ARENY	rtva	https://www.youtube.com/watch?v=QaksoPLFLuc	QaksoPLFLuc	metadata-ok	1265	font localitzada; metadades pendents
pa-047	Gualbert Osorio	IDENTITATS: GUALBERT OSORIO	rtva	https://www.youtube.com/watch?v=v-JusrQAhzA	v-JusrQAhzA	metadata-ok	1572	font localitzada; metadades pendents
pa-048	Antoni Morell	IDENTITATS: ANTONI MORELL	rtva	https://www.youtube.com/watch?v=w561_gp7M-U	w561_gp7M-U	metadata-ok	1528	font localitzada; metadades pendents
pa-049	Angelina Mas	IDENTITATS: ANGELINA MAS	rtva	https://www.youtube.com/watch?v=b429vuTkpXU	b429vuTkpXU	metadata-ok	1596	font localitzada; metadades pendents
