prioritat_global	score_evidencia	categoria	forma	id_persona	interval_escolta	clip	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	estat_audicio
9	9	A-triple-consens	perquè	pa-025	37.17-40.43	clips/pa-025__perqu__37.17.wav	sí	sí	sí	0.032	0.033	pendent
9	9	A-triple-consens	reformeta	pa-025	1085.53-1091.51	clips/pa-025__reformeta__1085.53.wav	sí	sí	sí	0.083	0.061	pendent
9	9	A-triple-consens	a nivell	pa-026	38.25-41.75	clips/pa-026__a-nivell__38.25.wav	sí	sí	sí	0.071	0.074	pendent
9	9	A-triple-consens	a veure	pa-026	64.09-68.39	clips/pa-026__a-veure__64.09.wav	sí	sí	sí	0.041	0.316	pendent
9	9	A-triple-consens	perquè	pa-026	150.53-156.67	clips/pa-026__perqu__150.53.wav	sí	sí	sí	0.056	0.099	pendent
9	9	A-triple-consens	reformeta	pa-026	138.61-145.67	clips/pa-026__reformeta__138.61.wav	sí	sí	sí	0.100	0.045	pendent
9	9	A-triple-consens	crec	pa-027	8.81-14.39	clips/pa-027__crec__8.81.wav	sí	sí	sí	0.030	0.075	pendent
9	9	A-triple-consens	de fet	pa-027	109.45-115.11	clips/pa-027__de-fet__109.45.wav	sí	sí	sí	0.161	0.045	pendent
9	9	A-triple-consens	diguem	pa-027	57.77-63.27	clips/pa-027__diguem__57.77.wav	sí	sí	sí	0.038	0.124	pendent
9	9	A-triple-consens	evidentment	pa-027	174.09-178.23	clips/pa-027__evidentment__174.09.wav	sí	sí	sí	0.094	0.037	pendent
9	9	A-triple-consens	perquè	pa-027	8.81-14.39	clips/pa-027__perqu__8.81.wav	sí	sí	sí	0.050	0.075	pendent
9	9	A-triple-consens	bé	pa-028	182.49-187.39	clips/pa-028__b__182.49.wav	sí	sí	sí	0.064	0.058	pendent
9	9	A-triple-consens	clar	pa-028	290.33-295.15	clips/pa-028__clar__290.33.wav	sí	sí	sí	0.074	0.071	pendent
9	9	A-triple-consens	de fet	pa-028	31.17-37.07	clips/pa-028__de-fet__31.17.wav	sí	sí	sí	0.093	0.061	pendent
9	9	A-triple-consens	doncs	pa-028	329.33-334.79	clips/pa-028__doncs__329.33.wav	sí	sí	sí	0.092	0.130	pendent
9	9	A-triple-consens	llavors	pa-028	151.01-155.91	clips/pa-028__llavors__151.01.wav	sí	sí	sí	0.067	0.069	pendent
9	9	A-triple-consens	a nivell	pa-029	417.09-421.47	clips/pa-029__a-nivell__417.09.wav	sí	sí	sí	0.072	0.080	pendent
9	9	A-triple-consens	diguem	pa-029	929.69-935.51	clips/pa-029__diguem__929.69.wav	sí	sí	sí	0.116	0.180	pendent
9	9	A-triple-consens	tirar endavant	pa-029	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	sí	sí	sí	0.064	0.116	pendent
9	9	A-triple-consens	a veure	pa-030	673.41-676.91	clips/pa-030__a-veure__673.41.wav	sí	sí	sí	0.138	0.052	pendent
9	9	A-triple-consens	bueno	pa-030	459.05-463.07	clips/pa-030__bueno__459.05.wav	sí	sí	sí	0.083	0.100	pendent
9	9	A-triple-consens	bé	pa-030	436.45-441.63	clips/pa-030__b__436.45.wav	sí	sí	sí	0.033	0.081	pendent
9	9	A-triple-consens	crec	pa-030	346.45-352.99	clips/pa-030__crec__346.45.wav	sí	sí	sí	0.022	0.054	pendent
9	9	A-triple-consens	evidentment	pa-030	43.53-48.63	clips/pa-030__evidentment__43.53.wav	sí	sí	sí	0.086	0.203	pendent
9	9	A-triple-consens	vull dir	pa-030	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	sí	sí	sí	0.080	0.077	pendent
9	9	A-triple-consens	és a dir	pa-030	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	sí	sí	sí	0.061	0.074	pendent
9	9	A-triple-consens	crec	pa-031	87.01-92.63	clips/pa-031__crec__87.01.wav	sí	sí	sí	0.033	0.057	pendent
9	9	A-triple-consens	de fet	pa-031	9.93-14.23	clips/pa-031__de-fet__9.93.wav	sí	sí	sí	0.133	0.189	pendent
9	9	A-triple-consens	perquè	pa-031	32.69-37.47	clips/pa-031__perqu__32.69.wav	sí	sí	sí	0.060	0.087	pendent
9	9	A-triple-consens	bueno	pa-032	44.73-50.63	clips/pa-032__bueno__44.73.wav	sí	sí	sí	0.065	0.065	pendent
9	9	A-triple-consens	bé	pa-032	270.41-274.95	clips/pa-032__b__270.41.wav	sí	sí	sí	0.044	0.073	pendent
9	9	A-triple-consens	clar	pa-032	155.33-162.15	clips/pa-032__clar__155.33.wav	sí	sí	sí	0.021	0.061	pendent
9	9	A-triple-consens	perquè	pa-032	9.21-15.07	clips/pa-032__perqu__9.21.wav	sí	sí	sí	0.042	0.036	pendent
9	9	A-triple-consens	bé	pa-033	103.09-107.43	clips/pa-033__b__103.09.wav	sí	sí	sí	0.078	0.101	pendent
9	9	A-triple-consens	clar	pa-033	54.49-57.67	clips/pa-033__clar__54.49.wav	sí	sí	sí	0.122	0.101	pendent
9	9	A-triple-consens	diguem	pa-033	49.01-55.91	clips/pa-033__diguem__49.01.wav	sí	sí	sí	0.122	0.105	pendent
9	9	A-triple-consens	perquè	pa-033	18.89-23.43	clips/pa-033__perqu__18.89.wav	sí	sí	sí	0.078	0.085	pendent
9	9	A-triple-consens	vull dir	pa-033	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	sí	sí	sí	0.059	0.101	pendent
9	9	A-triple-consens	a nivell	pa-034	143.81-148.91	clips/pa-034__a-nivell__143.81.wav	sí	sí	sí	0.039	0.101	pendent
9	9	A-triple-consens	a veure	pa-034	94.05-100.39	clips/pa-034__a-veure__94.05.wav	sí	sí	sí	0.045	0.029	pendent
9	9	A-triple-consens	crec	pa-034	651.65-657.27	clips/pa-034__crec__651.65.wav	sí	sí	sí	0.096	0.047	pendent
9	9	A-triple-consens	diguem	pa-034	504.45-508.51	clips/pa-034__diguem__504.45.wav	sí	sí	sí	0.056	0.083	pendent
9	9	A-triple-consens	reformeta	pa-034	191.33-198.59	clips/pa-034__reformeta__191.33.wav	sí	sí	sí	0.109	0.042	pendent
9	9	A-triple-consens	tirar endavant	pa-034	690.33-695.67	clips/pa-034__tirar-endavant__690.33.wav	sí	sí	sí	0.082	0.151	pendent
9	9	A-triple-consens	crec	pa-035	872.77-879.91	clips/pa-035__crec__872.77.wav	sí	sí	sí	0.054	0.073	pendent
9	9	A-triple-consens	perquè	pa-035	181.13-186.35	clips/pa-035__perqu__181.13.wav	sí	sí	sí	0.026	0.070	pendent
9	9	A-triple-consens	és a dir	pa-035	582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	sí	sí	sí	0.029	0.034	pendent
9	9	A-triple-consens	a nivell	pa-036	386.45-395.95	clips/pa-036__a-nivell__386.45.wav	sí	sí	sí	0.239	0.129	pendent
9	9	A-triple-consens	a veure	pa-036	153.05-160.15	clips/pa-036__a-veure__153.05.wav	sí	sí	sí	0.358	0.093	pendent
9	9	A-triple-consens	bé	pa-036	69.45-75.15	clips/pa-036__b__69.45.wav	sí	sí	sí	0.184	0.070	pendent
9	9	A-triple-consens	clar	pa-036	136.45-147.15	clips/pa-036__clar__136.45.wav	sí	sí	sí	0.139	0.037	pendent
9	9	A-triple-consens	doncs	pa-036	367.25-376.75	clips/pa-036__doncs__367.25.wav	sí	sí	sí	0.152	0.161	pendent
9	9	A-triple-consens	evidentment	pa-036	202.85-211.95	clips/pa-036__evidentment__202.85.wav	sí	sí	sí	0.234	0.090	pendent
9	9	A-triple-consens	perquè	pa-036	15.65-20.75	clips/pa-036__perqu__15.65.wav	sí	sí	sí	0.099	0.114	pendent
9	9	A-triple-consens	vull dir	pa-036	632.25-637.75	clips/pa-036__vull-dir__632.25.wav	sí	sí	sí	0.234	0.052	pendent
9	9	A-triple-consens	bueno	pa-037	105.29-124.79	clips/pa-037__bueno__105.29.wav	sí	sí	sí	0.051	0.057	pendent
9	9	A-triple-consens	bé	pa-037	105.29-124.79	clips/pa-037__b__105.29.wav	sí	sí	sí	0.025	0.023	pendent
9	9	A-triple-consens	diguem	pa-037	469.77-482.03	clips/pa-037__diguem__469.77.wav	sí	sí	sí	0.055	0.208	pendent
9	9	A-triple-consens	doncs	pa-037	20.49-28.07	clips/pa-037__doncs__20.49.wav	sí	sí	sí	0.056	0.103	pendent
9	9	A-triple-consens	llavors	pa-037	92.53-106.79	clips/pa-037__llavors__92.53.wav	sí	sí	sí	0.024	0.141	pendent
9	9	A-triple-consens	perquè	pa-037	186.29-198.91	clips/pa-037__perqu__186.29.wav	sí	sí	sí	0.012	0.027	pendent
9	9	A-triple-consens	vull dir	pa-037	414.01-426.11	clips/pa-037__vull-dir__414.01.wav	sí	sí	sí	0.031	0.052	pendent
9	9	A-triple-consens	a nivell	pa-038	455.49-460.15	clips/pa-038__a-nivell__455.49.wav	sí	sí	sí	0.061	0.039	pendent
9	9	A-triple-consens	bueno	pa-038	874.61-878.11	clips/pa-038__bueno__874.61.wav	sí	sí	sí	0.067	0.073	pendent
9	9	A-triple-consens	bé	pa-038	26.77-31.71	clips/pa-038__b__26.77.wav	sí	sí	sí	0.021	0.115	pendent
9	9	A-triple-consens	clar	pa-038	96.41-101.31	clips/pa-038__clar__96.41.wav	sí	sí	sí	0.052	0.071	pendent
9	9	A-triple-consens	crec	pa-038	220.69-226.79	clips/pa-038__crec__220.69.wav	sí	sí	sí	0.094	0.042	pendent
9	9	A-triple-consens	llavors	pa-038	264.13-269.83	clips/pa-038__llavors__264.13.wav	sí	sí	sí	0.019	0.124	pendent
9	9	A-triple-consens	o sigui	pa-038	16.65-22.87	clips/pa-038__o-sigui__16.65.wav	sí	sí	sí	0.037	0.051	pendent
9	9	A-triple-consens	perquè	pa-038	279.13-283.51	clips/pa-038__perqu__279.13.wav	sí	sí	sí	0.019	0.047	pendent
9	9	A-triple-consens	reformeta	pa-038	1821.69-1828.07	clips/pa-038__reformeta__1821.69.wav	sí	sí	sí	0.032	0.107	pendent
9	9	A-triple-consens	vull dir	pa-038	1576.57-1582.39	clips/pa-038__vull-dir__1576.57.wav	sí	sí	sí	0.150	0.043	pendent
9	9	A-triple-consens	bé	pa-039	27.77-32.03	clips/pa-039__b__27.77.wav	sí	sí	sí	0.049	0.094	pendent
9	9	A-triple-consens	crec	pa-039	90.85-95.95	clips/pa-039__crec__90.85.wav	sí	sí	sí	0.072	0.091	pendent
9	9	A-triple-consens	evidentment	pa-039	184.17-188.67	clips/pa-039__evidentment__184.17.wav	sí	sí	sí	0.194	0.079	pendent
9	9	A-triple-consens	perquè	pa-039	18.09-21.31	clips/pa-039__perqu__18.09.wav	sí	sí	sí	0.034	0.158	pendent
9	9	A-triple-consens	crec	pa-040	4.37-7.79	clips/pa-040__crec__4.37.wav	sí	sí	sí	0.015	0.073	pendent
9	9	A-triple-consens	de fet	pa-040	70.17-73.51	clips/pa-040__de-fet__70.17.wav	sí	sí	sí	0.076	0.050	pendent
9	9	A-triple-consens	evidentment	pa-040	103.93-106.95	clips/pa-040__evidentment__103.93.wav	sí	sí	sí	0.077	0.123	pendent
9	9	A-triple-consens	perquè	pa-040	25.21-30.07	clips/pa-040__perqu__25.21.wav	sí	sí	sí	0.040	0.109	pendent
