forma	id_persona	interval_escolta	interval_base	clip	estat_clip	sha256	duracio_s
és a dir	pa-007	684.25-687.75	684.90-687.50	clips/pa-007__s-a-dir__684.25.wav	existent	90b5e99b7d6efac4f8a32ffbc80d1fc68cc5d31b28e5dfec4aea16991c4a2132	3.500
és a dir	pa-008	1110.25-1114.75	1112.24-1117.88	clips/pa-008__s-a-dir__1110.25.wav	existent	d7847079f3efecbd32a84cafe9c06c682f01f3697e52af62b036a54b2c607e25	4.500
és a dir	pa-010	243.25-249.55	241.76-245.60	clips/pa-010__s-a-dir__243.25.wav	existent	be9f18bc86f42531bca48f45180c65afcc40de7b6246c72a4e1ddeb93c5171b6	6.300
és a dir	pa-011	48.09-54.67	47.72-51.72	clips/pa-011__s-a-dir__48.09.wav	existent	e1904cb81b1d6adbcad154c83d7ba280b510707fe8a0fca66629592f681002f0	6.580
és a dir	pa-013	579.17-586.75	578.28-583.56	clips/pa-013__s-a-dir__579.17.wav	existent	30f54ca8f95556f452e42047d54e4de6a1235335e4afb66e77b83fe5bd922380	7.580
és a dir	pa-014	95.45-107.35	99.44-103.28	clips/pa-014__s-a-dir__95.45.wav	existent	937818a38ad39abcac08411c2e0188ba532abd50c204a759271d8a052d426d23	11.900
és a dir	pa-016	85.97-90.59		clips/pa-016__s-a-dir__85.97.wav	existent-extraient-sense-overlap	5e147da8e76844f2f8ce04867a23c97da0fe02cba43a70432c0fc2c8afe66cee	4.620
és a dir	pa-017	487.25-494.75	488.44-490.92	clips/pa-017__s-a-dir__487.25.wav	existent	76794b4314dd38ba0f8979bf00b317b78e187016f5a11beabb485f65ae5c05ab	7.500
és a dir	pa-018	74.49-79.83	75.12-79.12	clips/pa-018__s-a-dir__74.49.wav	existent	c1b8c86cc470f9191fdb5a34c4d5e4886e4a9927206a0b5de46c8b13140e5cca	5.340
és a dir	pa-019	56.25-60.75		clips/pa-019__s-a-dir__56.25.wav	existent-extraient-sense-overlap	67da3a42e6228a1a0479c7ecc4b896b1974bcb60d2a01532042cc03c077f04fe	4.500
és a dir	pa-021	32.29-38.55	34.20-38.00	clips/pa-021__s-a-dir__32.29.wav	existent	651bafcfdb72346d819678d5e876950ff54398179738962c2a5e629a3a3fc465	6.260
és a dir	pa-022	11.49-17.91	10.88-17.20	clips/pa-022__s-a-dir__11.49.wav	existent	d843e8305006a5a4c5272cf8b7a7f216adc3828d8b4629f2914eea67b0dab85b	6.420
és a dir	pa-023	207.17-213.55	207.80-212.80	clips/pa-023__s-a-dir__207.17.wav	existent	4e68e4319d2a18e6dff4e3460aa1f69cc7efa50f5c0440b12fd0dc4e08e4eee2	6.380
és a dir	pa-024	78.49-84.39		clips/pa-024__s-a-dir__78.49.wav	existent-extraient-sense-overlap	a1c469ae4499b42f14fb3519630a085e61dd4916629f9c6d058664d998c00ff2	5.900
és a dir	pa-025	64.61-70.95	65.24-70.16	clips/pa-025__s-a-dir__64.61.wav	existent	9fb60f0251e2633eca14340bff258dad7323703f418efa58bfa5ccca7e72efe1	6.340
és a dir	pa-026	64.09-68.39	63.04-67.44	clips/pa-026__s-a-dir__64.09.wav	existent	a0131f905fc6b5055935b9db4e5f641e9c8dd15f1c33156a2430926f27383e95	4.300
és a dir	pa-027	185.61-192.87		clips/pa-027__s-a-dir__185.61.wav	existent-extraient-sense-overlap	396166e7dcac8577bd565408d3f51829e90f5e81bdbee5c08cf4fdf2ec70940e	7.260
és a dir	pa-029	20.17-25.95		clips/pa-029__s-a-dir__20.17.wav	existent-extraient-sense-overlap	ef9474026c7f18f4fb50a9dc8f3f7bacb81d8d3aa0ba4e40508fdf169f37aff9	5.780
és a dir	pa-030	193.13-199.43	194.12-198.44	clips/pa-030__s-a-dir__193.13.wav	existent	e639a844cd0b4096368c9713a4168e0f23d36386cb8f61585d15fe2591a67a46	6.300
és a dir	pa-033	39.29-44.27		clips/pa-033__s-a-dir__39.29.wav	existent-extraient-sense-overlap	59ceeb2bbceabed226bbe4c6145e2f79311fe783fdce01469fe6a656b015b748	4.980
és a dir	pa-034	319.09-323.47		clips/pa-034__s-a-dir__319.09.wav	existent-extraient-sense-overlap	9331f5ffd757dadab35eb80f7cc82ec0684643d885f860870dc8eab5aac98eeb	4.380
és a dir	pa-035	582.29-589.75	583.08-588.44	clips/pa-035__s-a-dir__582.29.wav	existent	f2bcfd4264c9b77392e1804d4c2b2c3dc756b035221279fa8a75d134b3a9e40c	7.460
és a dir	pa-039	209.05-216.11		clips/pa-039__s-a-dir__209.05.wav	existent-extraient-sense-overlap	c7ec91fc0d849e8070eb6d0be7503180d1e28b59632ca1c372f4773ed0964d2c	7.060
és a dir	pa-041	259.25-265.75	260.20-262.48	clips/pa-041__s-a-dir__259.25.wav	existent	17d1710a17d525e56b3b02cf45cf664432a56df1654241b50d9005df0068ee78	6.500
és a dir	pa-043	107.25-111.75	107.80-111.08	clips/pa-043__s-a-dir__107.25.wav	existent	0df85958790c617518e71266c51c91d6f68d1a832a6edac50e3eacd6b9763caf	4.500
és a dir	pa-046	135.61-140.07		clips/pa-046__s-a-dir__135.61.wav	existent-extraient-sense-overlap	cd35ebbe856f24d950b4f7bdec74c37fa4dd26a1523fca161dddc698c05bfab4	4.460
és a dir	pa-048	1130.61-1135.31	1131.28-1137.68	clips/pa-048__s-a-dir__1130.61.wav	existent	04877838ff772e15984f20b318b32547932ad38359b416d80b043ec25f100cfc	4.700
és a dir	pa-049	907.25-911.75		clips/pa-049__s-a-dir__907.25.wav	existent-extraient-sense-overlap	f673b179258a15426f515386474b876cc5727b919573bb400dd86409224e6273	4.500
és a dir	pa-055	63.89-68.59	59.00-67.24	clips/pa-055__s-a-dir__63.89.wav	existent	5a77a923a35da12ae764c729ea54da5af9922d6b7fc57f4732ea86f932e9d997	4.700
és a dir	pa-056	7.45-10.87	8.16-10.24	clips/pa-056__s-a-dir__7.45.wav	existent	40d9f02c140bc82760202413f77bf7ec1b4f259d55aab187e178087026217ac3	3.420
