id_persona	forma	clip	json_full	estat
pa-034	reformeta	clips/pa-034__reformeta__191.33.wav	qa-clips-json-full/pa-034__reformeta__191_33.json	pendent-audicio
pa-034	tirar endavant	clips/pa-034__tirar-endavant__690.33.wav	qa-clips-json-full/pa-034__tirar-endavant__690_33.json	pendent-audicio
pa-035	crec	clips/pa-035__crec__872.77.wav	qa-clips-json-full/pa-035__crec__872_77.json	pendent-audicio
pa-035	perquè	clips/pa-035__perqu__181.13.wav	qa-clips-json-full/pa-035__perqu__181_13.json	pendent-audicio
pa-035	és a dir	clips/pa-035__s-a-dir__582.29.wav	qa-clips-json-full/pa-035__s-a-dir__582_29.json	pendent-audicio
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	qa-clips-json-full/pa-036__a-nivell__386_45.json	pendent-audicio
pa-036	a veure	clips/pa-036__a-veure__153.05.wav	qa-clips-json-full/pa-036__a-veure__153_05.json	pendent-audicio
pa-036	bé	clips/pa-036__b__69.45.wav	qa-clips-json-full/pa-036__b__69_45.json	pendent-audicio
pa-036	clar	clips/pa-036__clar__136.45.wav	qa-clips-json-full/pa-036__clar__136_45.json	pendent-audicio
pa-036	doncs	clips/pa-036__doncs__367.25.wav	qa-clips-json-full/pa-036__doncs__367_25.json	pendent-audicio
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	qa-clips-json-full/pa-036__evidentment__202_85.json	pendent-audicio
pa-036	perquè	clips/pa-036__perqu__15.65.wav	qa-clips-json-full/pa-036__perqu__15_65.json	pendent-audicio
pa-036	vull dir	clips/pa-036__vull-dir__632.25.wav	qa-clips-json-full/pa-036__vull-dir__632_25.json	pendent-audicio
pa-037	bueno	clips/pa-037__bueno__105.29.wav	qa-clips-json-full/pa-037__bueno__105_29.json	pendent-audicio
pa-037	bé	clips/pa-037__b__105.29.wav	qa-clips-json-full/pa-037__b__105_29.json	pendent-audicio
pa-037	diguem	clips/pa-037__diguem__469.77.wav	qa-clips-json-full/pa-037__diguem__469_77.json	pendent-audicio
pa-037	doncs	clips/pa-037__doncs__20.49.wav	qa-clips-json-full/pa-037__doncs__20_49.json	pendent-audicio
pa-037	llavors	clips/pa-037__llavors__92.53.wav	qa-clips-json-full/pa-037__llavors__92_53.json	pendent-audicio
pa-037	perquè	clips/pa-037__perqu__186.29.wav	qa-clips-json-full/pa-037__perqu__186_29.json	pendent-audicio
pa-037	vull dir	clips/pa-037__vull-dir__414.01.wav	qa-clips-json-full/pa-037__vull-dir__414_01.json	pendent-audicio
pa-038	a nivell	clips/pa-038__a-nivell__455.49.wav	qa-clips-json-full/pa-038__a-nivell__455_49.json	pendent-audicio
pa-038	bueno	clips/pa-038__bueno__874.61.wav	qa-clips-json-full/pa-038__bueno__874_61.json	pendent-audicio
pa-038	bé	clips/pa-038__b__26.77.wav	qa-clips-json-full/pa-038__b__26_77.json	pendent-audicio
pa-038	clar	clips/pa-038__clar__96.41.wav	qa-clips-json-full/pa-038__clar__96_41.json	pendent-audicio
