id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	punt	proporcio	temps_rel_s	f0_hz	f1_hz	f2_hz	f3_hz	intensity_db
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	4	0.65	0.510		1256.10	2698.91	2979.11	40.46
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.050	10.650	0.3602	5	0.80	0.600		708.54	1521.30	2714.37	42.75
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.2786	1	0.20	0.144		871.90	1753.20	2972.92	31.85
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.2786	2	0.35	0.200		924.93	1975.31	2744.67	29.88
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.2786	3	0.50	0.255		826.35	1587.18	2775.46	31.06
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.2786	4	0.65	0.310		893.25	1308.97	2638.99	30.06
pa-032	bueno	clips/pa-032__bueno__44.73.wav	44.800	45.170	0.2786	5	0.80	0.366		795.57	1794.61	2970.07	31.62
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	81.340	82.120	0.1872	1	0.20	2.406	107.21	829.62	2393.23	3608.26	63.52
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	81.340	82.120	0.1872	2	0.35	2.523	116.26	527.44	1203.83	2267.40	74.16
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	81.340	82.120	0.1872	3	0.50	2.640	107.16	436.26	1502.39	2267.47	68.98
