forma	id_persona	estat_persona	interval_font	interval_escolta	interval_base	coincidencia_temporal_asr	conf_min_segment	conf_min_base_segment	prioritat_asr	consens_dos_asr	ratio_veu_wav	f0_median_hz_orientatiu	clip_suggerit	estat_audicio	forma_confirmada_auditivament	nota_audicio	trets_fonetics_observats	prioritat_global
perquè	pa-012	analitzada-provisional-contextual	370.00-374.00	369.25-374.75	367.78-374.46	sí	0.398	0.147	alta	sí	0.6375	277.14	clips/pa-012__perqu__369.25.wav	pendent				9
evidentment	pa-013	analitzada-provisional-contextual	531.04-539.52	530.29-540.27	533.24-535.48	sí	0.145	0.208	alta	sí	0.7568	310.95	clips/pa-013__evidentment__530.29.wav	pendent				9
perquè	pa-013	analitzada-provisional-contextual	434.64-441.28	433.89-442.03	432.88-437.28	sí	0.144	0.059	alta	sí	0.7568	310.95	clips/pa-013__perqu__433.89.wav	pendent				9
és a dir	pa-013	analitzada-provisional-contextual	579.92-586.00	579.17-586.75	578.28-583.56	sí	0.108	0.311	alta	sí	0.7568	310.95	clips/pa-013__s-a-dir__579.17.wav	pendent				9
aviam	pa-014	analitzada-provisional-contextual	876.20-883.20	875.45-883.95	876.08-878.08	sí	0.014	0.253	alta	sí	0.5833	135.72	clips/pa-014__aviam__875.45.wav	pendent				9
crec	pa-014	analitzada-provisional-contextual	154.00-159.80	153.25-160.55	153.12-165.12	sí	0.226	0.100	alta	sí	0.5833	135.72	clips/pa-014__crec__153.25.wav	pendent				9
doncs	pa-014	analitzada-provisional-contextual	180.80-187.80	180.05-188.55	181.12-183.56	sí	0.141	0.052	alta	sí	0.5833	135.72	clips/pa-014__doncs__180.05.wav	pendent				9
evidentment	pa-014	analitzada-provisional-contextual	29.40-36.80	28.65-37.55	29.32-36.92	sí	0.042	0.050	alta	sí	0.5833	135.72	clips/pa-014__evidentment__28.65.wav	pendent				9
o sigui	pa-014	analitzada-provisional-contextual	659.20-674.20	658.45-674.95	659.32-664.92	sí	0.481	0.237	alta	sí	0.5833	135.72	clips/pa-014__o-sigui__658.45.wav	pendent				9
perquè	pa-014	analitzada-provisional-contextual	106.60-115.00	105.85-115.75	107.92-109.36	sí	0.085	0.011	alta	sí	0.5833	135.72	clips/pa-014__perqu__105.85.wav	pendent				9
és a dir	pa-014	analitzada-provisional-contextual	96.20-106.60	95.45-107.35	99.44-103.28	sí	0.074	0.088	alta	sí	0.5833	135.72	clips/pa-014__s-a-dir__95.45.wav	pendent				9
doncs	pa-015	analitzada-provisional-contextual	84.00-87.00	83.25-87.75	81.04-87.76	sí	0.176	0.064	alta	sí	0.8210	243.83	clips/pa-015__doncs__83.25.wav	pendent				9
perquè	pa-015	analitzada-provisional-contextual	87.00-92.00	86.25-92.75	87.76-91.76	sí	0.369	0.068	alta	sí	0.8210	243.83	clips/pa-015__perqu__86.25.wav	pendent				9
a nivell	pa-016	analitzada-provisional-contextual	334.56-339.64	333.81-340.39	334.52-339.28	sí	0.071	0.058	alta	sí	0.5941	292.91	clips/pa-016__a-nivell__333.81.wav	pendent				9
a veure	pa-016	analitzada-provisional-contextual	370.48-375.16	369.73-375.91	370.24-375.08	sí	0.051	0.081	alta	sí	0.5941	292.91	clips/pa-016__a-veure__369.73.wav	pendent				9
bueno	pa-016	analitzada-provisional-contextual	93.92-100.08	93.17-100.83	93.80-99.16	sí	0.086	0.127	alta	sí	0.5941	292.91	clips/pa-016__bueno__93.17.wav	pendent				9
bé	pa-016	analitzada-provisional-contextual	170.80-176.44	170.05-177.19	174.44-175.92	sí	0.040	0.038	alta	sí	0.5941	292.91	clips/pa-016__b__170.05.wav	pendent				9
clar	pa-016	analitzada-provisional-contextual	176.44-179.60	175.69-180.35	175.92-179.28	sí	0.054	0.144	alta	sí	0.5941	292.91	clips/pa-016__clar__175.69.wav	pendent				9
de fet	pa-016	analitzada-provisional-contextual	319.28-323.28	318.53-324.03	319.24-322.16	sí	0.032	0.144	alta	sí	0.5941	292.91	clips/pa-016__de-fet__318.53.wav	pendent				9
doncs	pa-016	analitzada-provisional-contextual	63.08-68.68	62.33-69.43	67.24-69.56	sí	0.051	0.144	alta	sí	0.5941	292.91	clips/pa-016__doncs__62.33.wav	pendent				9
evidentment	pa-016	analitzada-provisional-contextual	457.60-462.28	456.85-463.03	457.64-462.24	sí	0.217	0.215	alta	sí	0.5941	292.91	clips/pa-016__evidentment__456.85.wav	pendent				9
llavors	pa-016	analitzada-provisional-contextual	15.80-20.16	15.05-20.91	15.72-19.28	sí	0.054	0.069	alta	sí	0.5941	292.91	clips/pa-016__llavors__15.05.wav	pendent				9
perquè	pa-016	analitzada-provisional-contextual	80.52-84.64	79.77-85.39	80.68-84.56	sí	0.050	0.022	alta	sí	0.5941	292.91	clips/pa-016__perqu__79.77.wav	pendent				9
vull dir	pa-016	analitzada-provisional-contextual	323.28-327.08	322.53-327.83	325.32-328.04	sí	0.175	0.086	alta	sí	0.5941	292.91	clips/pa-016__vull-dir__322.53.wav	pendent				9
a nivell	pa-017	analitzada-provisional-contextual	144.00-149.00	143.25-149.75	143.80-149.44	sí	0.169	0.147	alta	sí	0.5555	216.03	clips/pa-017__a-nivell__143.25.wav	pendent				9
clar	pa-017	analitzada-provisional-contextual	35.20-41.60	34.45-42.35	35.28-41.52	sí	0.177	0.074	alta	sí	0.5555	216.03	clips/pa-017__clar__34.45.wav	pendent				9
doncs	pa-017	analitzada-provisional-contextual	460.00-464.00	459.25-464.75	460.32-464.32	sí	0.241	0.118	alta	sí	0.5555	216.03	clips/pa-017__doncs__459.25.wav	pendent				9
llavors	pa-017	analitzada-provisional-contextual	362.00-368.00	361.25-368.75	362.00-366.76	sí	0.315	0.124	alta	sí	0.5555	216.03	clips/pa-017__llavors__361.25.wav	pendent				9
perquè	pa-017	analitzada-provisional-contextual	5.00-11.40	4.25-12.15	4.96-7.88	sí	0.033	0.102	alta	sí	0.5555	216.03	clips/pa-017__perqu__4.25.wav	pendent				9
tirar endavant	pa-017	analitzada-provisional-contextual	50.60-55.40	49.85-56.15	50.60-54.16	sí	0.254	0.180	alta	sí	0.5555	216.03	clips/pa-017__tirar-endavant__49.85.wav	pendent				9
vull dir	pa-017	analitzada-provisional-contextual	273.00-279.00	272.25-279.75	272.28-278.72	sí	0.322	0.083	alta	sí	0.5555	216.03	clips/pa-017__vull-dir__272.25.wav	pendent				9
