id_persona	forma	interval_escolta	clip	json_small	estat
pa-006	evidentment	124.25-131.75	clips/pa-006__evidentment__124.25.wav	qa-cua-small-json/pa-006__evidentment__124_25.json	pendent-audicio
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	qa-cua-small-json/pa-007__evidentment__778_25.json	pendent-audicio
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	qa-cua-small-json/pa-009__evidentment__947_25.json	pendent-audicio
pa-011	evidentment	157.65-163.71	clips/pa-011__evidentment__157.65.wav	qa-cua-small-json/pa-011__evidentment__157_65.json	pendent-audicio
pa-013	evidentment	530.29-540.27	clips/pa-013__evidentment__530.29.wav	qa-cua-small-json/pa-013__evidentment__530_29.json	pendent-audicio
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	qa-cua-small-json/pa-014__evidentment__28_65.json	pendent-audicio
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	qa-cua-small-json/pa-016__evidentment__456_85.json	pendent-audicio
pa-017	evidentment	152.25-161.75	clips/pa-017__evidentment__152.25.wav	qa-cua-small-json/pa-017__evidentment__152_25.json	pendent-audicio
pa-019	evidentment	93.25-97.75	clips/pa-019__evidentment__93.25.wav	qa-cua-small-json/pa-019__evidentment__93_25.json	pendent-audicio
pa-020	evidentment	117.57-122.27	clips/pa-020__evidentment__117.57.wav	qa-cua-small-json/pa-020__evidentment__117_57.json	pendent-audicio
pa-021	evidentment	211.41-215.75	clips/pa-021__evidentment__211.41.wav	qa-cua-small-json/pa-021__evidentment__211_41.json	pendent-audicio
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	qa-cua-small-json/pa-022__evidentment__303_01.json	pendent-audicio
pa-024	evidentment	518.89-523.51	clips/pa-024__evidentment__518.89.wav	qa-cua-small-json/pa-024__evidentment__518_89.json	pendent-audicio
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	qa-cua-small-json/pa-025__evidentment__1156_61.json	pendent-audicio
pa-026	evidentment	1648.81-1653.83	clips/pa-026__evidentment__1648.81.wav	qa-cua-small-json/pa-026__evidentment__1648_81.json	pendent-audicio
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	qa-cua-small-json/pa-027__evidentment__174_09.json	pendent-audicio
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	qa-cua-small-json/pa-030__evidentment__43_53.json	pendent-audicio
pa-035	evidentment	472.93-481.79	clips/pa-035__evidentment__472.93.wav	qa-cua-small-json/pa-035__evidentment__472_93.json	pendent-audicio
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	qa-cua-small-json/pa-036__evidentment__202_85.json	pendent-audicio
pa-039	evidentment	184.17-188.67	clips/pa-039__evidentment__184.17.wav	qa-cua-small-json/pa-039__evidentment__184_17.json	pendent-audicio
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	qa-cua-small-json/pa-040__evidentment__103_93.json	pendent-audicio
pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	qa-cua-small-json/pa-041__evidentment__353_25.json	pendent-audicio
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	qa-cua-small-json/pa-045__evidentment__290_13.json	pendent-audicio
pa-046	evidentment	705.69-711.03	clips/pa-046__evidentment__705.69.wav	qa-cua-small-json/pa-046__evidentment__705_69.json	pendent-audicio
pa-049	evidentment	117.17-126.51	clips/pa-049__evidentment__117.17.wav	qa-cua-small-json/pa-049__evidentment__117_17.json	pendent-audicio
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	qa-cua-small-json/pa-055__evidentment__1644_01.json	pendent-audicio
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	qa-cua-small-json/pa-056__evidentment__43_45.json	pendent-audicio
pa-059	evidentment	152.13-162.03	clips/pa-059__evidentment__152.13.wav	qa-cua-small-json/pa-059__evidentment__152_13.json	pendent-audicio
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	qa-cua-small-json/pa-061__evidentment__672_69.json	pendent-audicio
pa-062	evidentment	163.29-166.67	clips/pa-062__evidentment__163.29.wav	qa-cua-small-json/pa-062__evidentment__163_29.json	pendent-audicio
pa-064	evidentment	485.89-491.71	clips/pa-064__evidentment__485.89.wav	qa-cua-small-json/pa-064__evidentment__485_89.json	pendent-audicio
pa-066	evidentment	89.75-95.41	clips/pa-066__evidentment__89.75.wav	qa-cua-small-json/pa-066__evidentment__89_75.json	pendent-audicio
pa-003	diguem	212.85-219.51	clips/pa-003__diguem__212.85.wav	qa-cua-small-json/pa-003__diguem__212_85.json	pendent-audicio
pa-006	diguem	530.25-535.75	clips/pa-006__diguem__530.25.wav	qa-cua-small-json/pa-006__diguem__530_25.json	pendent-audicio
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	qa-cua-small-json/pa-007__diguem__585_25.json	pendent-audicio
pa-008	diguem	374.25-379.75	clips/pa-008__diguem__374.25.wav	qa-cua-small-json/pa-008__diguem__374_25.json	pendent-audicio
pa-009	diguem	60.25-66.75	clips/pa-009__diguem__60.25.wav	qa-cua-small-json/pa-009__diguem__60_25.json	pendent-audicio
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	qa-cua-small-json/pa-018__diguem__715_49.json	pendent-audicio
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	qa-cua-small-json/pa-019__diguem__109_25.json	pendent-audicio
pa-020	diguem	1459.77-1463.95	clips/pa-020__diguem__1459.77.wav	qa-cua-small-json/pa-020__diguem__1459_77.json	pendent-audicio
pa-022	diguem	447.57-453.55	clips/pa-022__diguem__447.57.wav	qa-cua-small-json/pa-022__diguem__447_57.json	pendent-audicio
