tipus	id	fitxer	durada_s	sample_rate_hz	canals	bytes	estat	nota
clip	pa-023::és a dir::207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	6.380	16000	1	204238	ok	
clip	pa-024::és a dir::78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	5.900	16000	1	188878	ok	
clip	pa-025::és a dir::64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	6.340	16000	1	202958	ok	
clip	pa-026::és a dir::64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	4.300	16000	1	137678	ok	
clip	pa-027::és a dir::185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	7.260	16000	1	232398	ok	
clip	pa-029::és a dir::20.17-25.95	clips/pa-029__s-a-dir__20.17.wav	5.780	16000	1	185038	ok	
clip	pa-030::és a dir::193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	6.300	16000	1	201678	ok	
clip	pa-033::és a dir::39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	4.980	16000	1	159438	ok	
clip	pa-034::és a dir::319.09-323.47	clips/pa-034__s-a-dir__319.09.wav	4.380	16000	1	140238	ok	
clip	pa-035::és a dir::582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	7.460	16000	1	238798	ok	
clip	pa-039::és a dir::209.05-216.11	clips/pa-039__s-a-dir__209.05.wav	7.060	16000	1	225998	ok	
clip	pa-041::és a dir::259.25-265.75	clips/pa-041__s-a-dir__259.25.wav	6.500	16000	1	208078	ok	
clip	pa-043::és a dir::107.25-111.75	clips/pa-043__s-a-dir__107.25.wav	4.500	16000	1	144078	ok	
clip	pa-046::és a dir::135.61-140.07	clips/pa-046__s-a-dir__135.61.wav	4.460	16000	1	142798	ok	
clip	pa-048::és a dir::1130.61-1135.31	clips/pa-048__s-a-dir__1130.61.wav	4.700	16000	1	150478	ok	
clip	pa-049::és a dir::907.25-911.75	clips/pa-049__s-a-dir__907.25.wav	4.500	16000	1	144078	ok	
clip	pa-055::és a dir::63.89-68.59	clips/pa-055__s-a-dir__63.89.wav	4.700	16000	1	150478	ok	
clip	pa-056::és a dir::7.45-10.87	clips/pa-056__s-a-dir__7.45.wav	3.420	16000	1	109518	ok	
clip	pa-057::és a dir::19.89-25.51	clips/pa-057__s-a-dir__19.89.wav	5.620	16000	1	179918	ok	
clip	pa-058::és a dir::74.41-79.87	clips/pa-058__s-a-dir__74.41.wav	5.460	16000	1	174798	ok	
clip	pa-059::és a dir::487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	3.860	16000	1	123598	ok	
clip	pa-060::és a dir::207.33-213.63	clips/pa-060__s-a-dir__207.33.wav	6.300	16000	1	201678	ok	
clip	pa-062::és a dir::973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	6.660	16000	1	213198	ok	
clip	pa-064::és a dir::258.61-265.03	clips/pa-064__s-a-dir__258.61.wav	6.420	16000	1	205518	ok	
clip	pa-065::és a dir::221.29-226.15	clips/pa-065__s-a-dir__221.29.wav	4.860	16000	1	155598	ok	
clip	pa-001::aleshores::10.13-13.63	clips/pa-001__aleshores__10.13.wav	3.500	16000	1	112078	ok	
clip	pa-003::aleshores::18.69-23.19	clips/pa-003__aleshores__18.69.wav	4.500	16000	1	144078	ok	
clip	pa-006::aleshores::513.25-518.75	clips/pa-006__aleshores__513.25.wav	5.500	16000	1	176078	ok	
clip	pa-008::aleshores::1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	4.500	16000	1	144078	ok	
clip	pa-011::aleshores::89.33-95.07	clips/pa-011__aleshores__89.33.wav	5.740	16000	1	183758	ok	
clip	pa-012::aleshores::246.25-250.75	clips/pa-012__aleshores__246.25.wav	4.500	16000	1	144078	ok	
clip	pa-014::aleshores::119.85-128.75	clips/pa-014__aleshores__119.85.wav	8.900	16000	1	284878	ok	
clip	pa-021::aleshores::12.25-16.87	clips/pa-021__aleshores__12.25.wav	4.620	16000	1	147918	ok	
clip	pa-025::aleshores::361.93-368.19	clips/pa-025__aleshores__361.93.wav	6.260	16000	1	200398	ok	
clip	pa-030::aleshores::392.41-397.91	clips/pa-030__aleshores__392.41.wav	5.500	16000	1	176078	ok	
clip	pa-031::aleshores::54.09-57.91	clips/pa-031__aleshores__54.09.wav	3.820	16000	1	122318	ok	
clip	pa-032::aleshores::79.09-87.19	clips/pa-032__aleshores__79.09.wav	8.100	16000	1	259278	ok	
clip	pa-045::aleshores::1193.41-1197.91	clips/pa-045__aleshores__1193.41.wav	4.500	16000	1	144078	ok	
clip	pa-046::aleshores::527.57-532.55	clips/pa-046__aleshores__527.57.wav	4.980	16000	1	159438	ok	
clip	pa-048::aleshores::701.05-707.67	clips/pa-048__aleshores__701.05.wav	6.620	16000	1	211918	ok	
clip	pa-049::aleshores::110.29-118.67	clips/pa-049__aleshores__110.29.wav	8.380	16000	1	268238	ok	
clip	pa-056::aleshores::393.13-397.83	clips/pa-056__aleshores__393.13.wav	4.700	16000	1	150478	ok	
clip	pa-060::aleshores::147.17-151.47	clips/pa-060__aleshores__147.17.wav	4.300	16000	1	137678	ok	
clip	pa-063::aleshores::151.45-155.23	clips/pa-063__aleshores__151.45.wav	3.780	16000	1	121038	ok	
clip	pa-065::aleshores::170.69-174.71	clips/pa-065__aleshores__170.69.wav	4.020	16000	1	128718	ok	
clip	pa-001::evidentment::1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	3.500	16000	1	112078	ok	
clip	pa-002::evidentment::205.25-209.75	clips/pa-002__evidentment__205.25.wav	4.500	16000	1	144078	ok	
clip	pa-003::evidentment::158.81-165.19	clips/pa-003__evidentment__158.81.wav	6.380	16000	1	204238	ok	
clip	pa-004::evidentment::522.93-528.15	clips/pa-004__evidentment__522.93.wav	5.220	16000	1	167118	ok	
clip	pa-006::evidentment::124.25-131.75	clips/pa-006__evidentment__124.25.wav	7.500	16000	1	240078	ok	
clip	pa-007::evidentment::778.25-783.75	clips/pa-007__evidentment__778.25.wav	5.500	16000	1	176078	ok	
clip	pa-009::evidentment::947.25-951.75	clips/pa-009__evidentment__947.25.wav	4.500	16000	1	144078	ok	
clip	pa-011::evidentment::157.65-163.71	clips/pa-011__evidentment__157.65.wav	6.060	16000	1	193998	ok	
clip	pa-013::evidentment::530.29-540.27	clips/pa-013__evidentment__530.29.wav	9.980	16000	1	319438	ok	
clip	pa-014::evidentment::28.65-37.55	clips/pa-014__evidentment__28.65.wav	8.900	16000	1	284878	ok	
clip	pa-016::evidentment::456.85-463.03	clips/pa-016__evidentment__456.85.wav	6.180	16000	1	197838	ok	
clip	pa-017::evidentment::152.25-161.75	clips/pa-017__evidentment__152.25.wav	9.500	16000	1	304078	ok	
clip	pa-019::evidentment::93.25-97.75	clips/pa-019__evidentment__93.25.wav	4.500	16000	1	144078	ok	
clip	pa-020::evidentment::117.57-122.27	clips/pa-020__evidentment__117.57.wav	4.700	16000	1	150478	ok	
clip	pa-021::evidentment::211.41-215.75	clips/pa-021__evidentment__211.41.wav	4.340	16000	1	138958	ok	
clip	pa-022::evidentment::303.01-309.59	clips/pa-022__evidentment__303.01.wav	6.580	16000	1	210638	ok	
clip	pa-024::evidentment::518.89-523.51	clips/pa-024__evidentment__518.89.wav	4.620	16000	1	147918	ok	
clip	pa-025::evidentment::1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	3.700	16000	1	118478	ok	
clip	pa-026::evidentment::1648.81-1653.83	clips/pa-026__evidentment__1648.81.wav	5.020	16000	1	160718	ok	
clip	pa-027::evidentment::174.09-178.23	clips/pa-027__evidentment__174.09.wav	4.140	16000	1	132558	ok	
clip	pa-030::evidentment::43.53-48.63	clips/pa-030__evidentment__43.53.wav	5.100	16000	1	163278	ok	
clip	pa-035::evidentment::472.93-481.79	clips/pa-035__evidentment__472.93.wav	8.860	16000	1	283598	ok	
clip	pa-036::evidentment::202.85-211.95	clips/pa-036__evidentment__202.85.wav	9.100	16000	1	291278	ok	
clip	pa-039::evidentment::184.17-188.67	clips/pa-039__evidentment__184.17.wav	4.500	16000	1	144078	ok	
clip	pa-040::evidentment::103.93-106.95	clips/pa-040__evidentment__103.93.wav	3.020	16000	1	96718	ok	
clip	pa-041::evidentment::353.25-360.75	clips/pa-041__evidentment__353.25.wav	7.500	16000	1	240078	ok	
