forma	id_persona	interval_escolta	clip	forma_en_qa	durada_s	veu_proporcio	rms_p10_db	rms_p50_db	rms_p90_db	zcr_p10	zcr_p90	f0_median_hz	f0_iqr_hz	centroid_median_hz	centroid_p90_hz	segments_veu	pausa_mediana_s	mostres_f0	nota
bé	pa-058	210.61-215.39	clips/pa-058__b__210.61.wav	no	4.780	0.5840	-62.13	-32.15	-21.25	0.0313	0.2372	256.57	29.83	881.84	2595.29	14	0.060	70	descriptor orientatiu; no és anotació fonètica
bé	pa-059	112.41-118.27	clips/pa-059__b__112.41.wav	no	5.860	0.5719	-51.19	-31.64	-22.33	0.0362	0.2833	262.59	151.59	1016.05	2817.66	15	0.100	85	descriptor orientatiu; no és anotació fonètica
bé	pa-060	415.73-419.91	clips/pa-060__b__415.73.wav	no	4.180	0.7933	-44.23	-26.27	-19.01	0.0449	0.2372	139.28	24.85	949.19	2706.26	9	0.070	82	descriptor orientatiu; no és anotació fonètica
bé	pa-061	662.89-667.43	clips/pa-061__b__662.89.wav	sí	4.540	0.6814	-42.97	-28.14	-23.38	0.0579	0.2238	175.21	138.66	1376.63	2130.06	10	0.080	76	descriptor orientatiu; no és anotació fonètica
bé	pa-062	401.61-406.47	clips/pa-062__b__401.61.wav	no	4.860	0.6322	-44.16	-32.62	-22.43	0.0344	0.1973	265.21	150.01	909.98	2676.56	14	0.080	77	descriptor orientatiu; no és anotació fonètica
bé	pa-063	105.97-110.35	clips/pa-063__b__105.97.wav	sí	4.380	0.6697	-46.89	-28.97	-23.83	0.0407	0.1033	173.32	113.87	1017.45	1467.97	9	0.090	73	descriptor orientatiu; no és anotació fonètica
bé	pa-064	97.93-104.11	clips/pa-064__b__97.93.wav	sí	6.180	0.6688	-64.35	-29.23	-21.19	0.0329	0.2649	251.21	121.78	986.61	2966.91	13	0.080	101	descriptor orientatiu; no és anotació fonètica
bé	pa-065	138.57-144.67	clips/pa-065__b__138.57.wav	sí	6.100	0.3849	-60.94	-41.67	-22.84	0.0360	0.3099	262.04	130.00	1159.60	2959.47	10	0.120	59	descriptor orientatiu; no és anotació fonètica
bé	pa-066	10.13-15.71	clips/pa-066__b__10.13.wav	sí	5.580	0.7266	-52.43	-27.40	-21.35	0.0402	0.2451	291.78	43.84	1218.29	2696.74	15	0.040	100	descriptor orientatiu; no és anotació fonètica
de fet	pa-001	68.49-71.99	clips/pa-001__de-fet__68.49.wav	sí	3.500	0.5057	-53.41	-34.83	-22.55	0.0360	0.2750	202.69	52.80	1220.77	2876.30	11	0.120	43	descriptor orientatiu; no és anotació fonètica
