id_parlant	nom_public	n_registres_font	n_formes	n_ocurrencies_asr	formes	estat
spk-038	Mercè Segura	1	11	56	a veure,bueno,bé,clar,doncs,evidentment,llavors,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-039	Miquel Aleix Areny	2	21	379	Canillo,Escaldes,Sant Julià,a nivell,a veure,andorrana,bueno,bé,clar,comuns,comú,copríncep,coprínceps,diguem,doncs,llavors,no?,parròquia,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-040	Miquel Armengol Pons	1	14	68	a veure,bueno,bé,clar,de fet,diguem,doncs,evidentment,llavors,no?,o sigui,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-041	Miquel Naudi Casal	1	11	32	Canillo,bueno,bé,clar,comú,diguem,doncs,llavors,parròquia,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-042	Mossèn Ramon de Canillo	1	17	137	Canillo,a nivell,a veure,aleshores,bueno,bé,clar,comú,de fet,doncs,llavors,o sigui,per tant,perquè,santuari,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-043	Nadia Aleix Tugas	2	17	142	Escaldes,Sant Julià,a nivell,bueno,bé,clar,comú,copríncep,coprínceps,doncs,evidentment,llavors,o sigui,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-044	Olga Adellach Coma	1	20	92	Canillo,Ordino,a nivell,a veure,aviam,bueno,bé,clar,comunals,de fet,doncs,evidentment,llavors,no?,o sigui,parròquia,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-045	Patrick Pérez	1	12	80	a nivell,a veure,bueno,bé,clar,doncs,evidentment,llavors,no?,o sigui,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-046	Pere Altimir Pintat	1	13	51	a nivell,bueno,bé,clar,comuns,diguem,doncs,evidentment,llavors,no?,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-047	Pere Torres	1	4	11	Escaldes,bé,llavors,perquè	perfil canònic ASR; pendent d'audició
spk-048	Ramon Canut Bové	2	21	349	Canillo,Escaldes,Massana,Ordino,Sant Julià,a nivell,a veure,bueno,bé,clar,comunals,copríncep,doncs,evidentment,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-049	Robert Cassany Vila	1	9	34	bueno,bé,clar,de fet,diguem,doncs,llavors,no?,perquè	perfil canònic ASR; pendent d'audició
spk-050	Robert Lizarte	1	16	48	Canillo,Ordino,Sant Julià,bé,clar,comú,diguem,doncs,evidentment,llavors,o sigui,padrí,parròquia,per tant,perquè,santuari	perfil canònic ASR; pendent d'audició
spk-051	Rosa Maria Mandicó Alcobé	1	18	502	Canillo,Massana,a nivell,a veure,bueno,bé,clar,comú,diguem,doncs,llavors,no?,o sigui,parròquia,per tant,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-052	Rosa Vidal	1	4	5	bueno,clar,llavors,perquè	perfil canònic ASR; pendent d'audició
spk-053	Roser Bastida	1	12	39	a nivell,aleshores,andorrana,aviam,bueno,bé,clar,de fet,diguem,evidentment,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-054	Roser Jordana	1	13	102	a nivell,a veure,aleshores,bueno,bé,clar,doncs,llavors,no?,o sigui,per tant,perquè,vull dir	perfil canònic ASR; pendent d'audició
spk-055	Ruth Casabella	1	7	39	Escaldes,bé,doncs,evidentment,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-056	Sara Ubach	1	6	19	bé,doncs,llavors,o sigui,parròquia,perquè	perfil canònic ASR; pendent d'audició
spk-057	Teo Armengol	1	17	73	Escaldes,Ordino,Sant Julià,a veure,aleshores,aviam,bé,clar,comú,doncs,evidentment,llavors,o sigui,padrí,perquè,vull dir,és a dir	perfil canònic ASR; pendent d'audició
spk-058	Trini Mandicó Baró	1	7	18	Escaldes,Sant Julià,a veure,bueno,bé,llavors,perquè	perfil canònic ASR; pendent d'audició
spk-059	Xavier Planas	1	11	53	Escaldes,Ordino,bé,clar,comuns,de fet,doncs,llavors,per tant,perquè,és a dir	perfil canònic ASR; pendent d'audició
spk-060	Àngels Mach	1	11	27	a veure,aleshores,bé,clar,de fet,llavors,no?,o sigui,padrí,per tant,perquè	perfil canònic ASR; pendent d'audició
