id_a	id_b	distancia_mad	features	nota
pa-024	pa-036	3.590	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-037	pa-056	2.146	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-027	pa-037	3.093	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-020	pa-038	2.418	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-017	pa-038	2.737	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-038	pa-060	2.805	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-038	pa-039	4.731	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-016	pa-039	4.841	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-020	pa-039	5.234	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-040	pa-057	3.131	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-019	pa-040	3.209	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-036	pa-041	4.231	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-024	pa-041	4.255	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
pa-041	pa-051	5.773	rms_p10_db;rms_p90_db;zcr_p10;zcr_p90;f0_iqr_hz;f0_sd_hz;centroid_median_hz;centroid_p90_hz;durada_veu_mediana_s;pausa_veu_mediana_s	veïnatge acústic exploratori; no és semblança dialectal
