id	persona	forma	clip	f0_hz	f1_hz	f2_hz	f3_hz	pausa_mediana_s	veu_proporcio	centroid_median_hz	estat
lead-rtva-005-carine-montaner::o sigui	Carine Montaner	o sigui	clips/carine-montaner__o-sigui__742.28.wav					0.08	0.4382	1084.16	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::parròquia	Carine Montaner	parròquia	clips/carine-montaner__parr-quia__671.88.wav					0.06	0.5685	1021.97	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::per tant	Carine Montaner	per tant	clips/carine-montaner__per-tant__145.64.wav					0.1	0.529	972.08	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::perquè	Carine Montaner	perquè	clips/carine-montaner__perqu__120.56.wav					0.08	0.6969	1236.35	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::és a dir	Carine Montaner	és a dir	clips/carine-montaner__s-a-dir__136.40.wav					0.08	0.5917	1185.61	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::Sant Julià	Carine Montaner	Sant Julià	clips/carine-montaner__sant-juli__2628.52.wav					0.08	0.4321	1223.9	mesura instrumental; pendent d’audició
lead-rtva-005-carine-montaner::vull dir	Carine Montaner	vull dir	clips/carine-montaner__vull-dir__2105.40.wav					0.06	0.6884	1271.08	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::a nivell	Jaume Tomàs	a nivell	clips/jaume-tomas__a-nivell__434.96.wav					0.05	0.7527	1039.07	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::bé	Jaume Tomàs	bé	clips/jaume-tomas__b__218.48.wav					0.05	0.7196	1036.84	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::bueno	Jaume Tomàs	bueno	clips/jaume-tomas__bueno__79.36.wav					0.05	0.7201	1091.5	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::clar	Jaume Tomàs	clar	clips/jaume-tomas__clar__71.76.wav					0.06	0.809	892.27	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::de fet	Jaume Tomàs	de fet	clips/jaume-tomas__de-fet__916.00.wav					0.04	0.8442	914.27	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::doncs	Jaume Tomàs	doncs	clips/jaume-tomas__doncs__35.36.wav					0.04	0.738	1043.23	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::evidentment	Jaume Tomàs	evidentment	clips/jaume-tomas__evidentment__404.16.wav					0.04	0.8264	945.29	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::llavors	Jaume Tomàs	llavors	clips/jaume-tomas__llavors__119.28.wav					0.05	0.6744	1085.23	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::no?	Jaume Tomàs	no?	clips/jaume-tomas__no__158.80.wav					0.05	0.7364	1020.36	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::o sigui	Jaume Tomàs	o sigui	clips/jaume-tomas__o-sigui__1221.28.wav					0.04	0.6406	1226.87	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::per tant	Jaume Tomàs	per tant	clips/jaume-tomas__per-tant__1393.88.wav					0.14	0.5729	1129.86	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::perquè	Jaume Tomàs	perquè	clips/jaume-tomas__perqu__43.12.wav					0.05	0.713	1168.85	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::és a dir	Jaume Tomàs	és a dir	clips/jaume-tomas__s-a-dir__123.76.wav					0.08	0.6	909.47	mesura instrumental; pendent d’audició
lead-rtva-006-jaume-tomas::vull dir	Jaume Tomàs	vull dir	clips/jaume-tomas__vull-dir__1401.12.wav					0.08	0.806	900.66	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::a nivell	Robert Guirao	a nivell	clips/robert-guirao__a-nivell__383.20.wav					0.06	0.3695	1270.95	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::a veure	Robert Guirao	a veure	clips/robert-guirao__a-veure__48.84.wav					0.1	0.8444	967.15	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::bé	Robert Guirao	bé	clips/robert-guirao__b__39.60.wav					0.08	0.6243	1235.02	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::bueno	Robert Guirao	bueno	clips/robert-guirao__bueno__78.84.wav					0.08	0.3055	1084.25	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::comú	Robert Guirao	comú	clips/robert-guirao__com__194.08.wav					0.14	0.2529	1239.3	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::de fet	Robert Guirao	de fet	clips/robert-guirao__de-fet__324.04.wav					0.11	0.3846	1115.33	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::diguem	Robert Guirao	diguem	clips/robert-guirao__diguem__301.32.wav					0.14	0.1639	1402.59	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::doncs	Robert Guirao	doncs	clips/robert-guirao__doncs__6.84.wav					0.07	0.8306	1086.95	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::evidentment	Robert Guirao	evidentment	clips/robert-guirao__evidentment__131.92.wav					0.02	0.8547	1040.54	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::no?	Robert Guirao	no?	clips/robert-guirao__no__104.20.wav					0.02	0.8241	950.97	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::o sigui	Robert Guirao	o sigui	clips/robert-guirao__o-sigui__123.60.wav					0.3	0.1235	1253.89	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::perquè	Robert Guirao	perquè	clips/robert-guirao__perqu__64.36.wav					0.06	0.3859	1159.11	mesura instrumental; pendent d’audició
lead-rtva-007-robert-guirao::és a dir	Robert Guirao	és a dir	clips/robert-guirao__s-a-dir__72.72.wav					0.07	0.5338	905.17	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::a nivell	Mireia Pedescoll	a nivell	clips/mireia-pedescoll__a-nivell__1348.36.wav					0.14	0.2864	1144.52	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::a veure	Mireia Pedescoll	a veure	clips/mireia-pedescoll__a-veure__53.40.wav					0.06	0.4615	1305.47	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::aleshores	Mireia Pedescoll	aleshores	clips/mireia-pedescoll__aleshores__164.04.wav					0.06	0.5753	1640.07	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::bé	Mireia Pedescoll	bé	clips/mireia-pedescoll__b__21.60.wav					0.06	0.7136	1124.37	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::bueno	Mireia Pedescoll	bueno	clips/mireia-pedescoll__bueno__57.48.wav					0.04	0.5256	1391.5	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::Canillo	Mireia Pedescoll	Canillo	clips/mireia-pedescoll__canillo__466.20.wav					0.1	0.3191	984.09	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::clar	Mireia Pedescoll	clar	clips/mireia-pedescoll__clar__40.92.wav					0.08	0.7487	1516.51	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::comú	Mireia Pedescoll	comú	clips/mireia-pedescoll__com__606.92.wav					0.07	0.5597	1546.94	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::de fet	Mireia Pedescoll	de fet	clips/mireia-pedescoll__de-fet__398.60.wav					0.08	0.6552	1317.03	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::doncs	Mireia Pedescoll	doncs	clips/mireia-pedescoll__doncs__11.20.wav					0.08	0.8141	1016.85	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::Escaldes	Mireia Pedescoll	Escaldes	clips/mireia-pedescoll__escaldes__29.64.wav					0.08	0.7085	1465.59	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::evidentment	Mireia Pedescoll	evidentment	clips/mireia-pedescoll__evidentment__57.48.wav					0.04	0.5256	1391.5	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::llavors	Mireia Pedescoll	llavors	clips/mireia-pedescoll__llavors__441.32.wav					0.09	0.5874	1074.18	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::no?	Mireia Pedescoll	no?	clips/mireia-pedescoll__no__207.24.wav					0.22	0.1859	962.64	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::parròquia	Mireia Pedescoll	parròquia	clips/mireia-pedescoll__parr-quia__403.08.wav					0.08	0.5861	1446.21	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::per tant	Mireia Pedescoll	per tant	clips/mireia-pedescoll__per-tant__124.44.wav					0.06	0.5814	1315.7	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::perquè	Mireia Pedescoll	perquè	clips/mireia-pedescoll__perqu__103.00.wav					0.06	0.5477	971.21	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::és a dir	Mireia Pedescoll	és a dir	clips/mireia-pedescoll__s-a-dir__216.92.wav					0.13	0.3317	1033.31	mesura instrumental; pendent d’audició
lead-rtva-008-mireia-pedescoll::vull dir	Mireia Pedescoll	vull dir	clips/mireia-pedescoll__vull-dir__515.48.wav					0.09	0.4335	1169.68	mesura instrumental; pendent d’audició
