forma	parlant	ocurrencies	segments_temporals	conf_min_segment	prioritat
bueno	pa-024	23	148.04-151.32,233.52-237.16,333.08-337.48,374.60-377.36,459.96-464.88,525.96-529.12,868.12-873.36,886.04-888.68	0.006	alta
bueno	pa-025	8	910.00-913.32,1261.88-1264.96,1387.84-1392.88,1434.04-1438.88,1679.96-1684.28,1736.48-1739.24,1806.64-1811.56,1874.76-1880.44	0.048	alta
bueno	pa-026	24	195.64-200.00,379.20-381.20,480.04-482.04,484.20-486.20,507.32-510.32,650.32-653.32,662.32-666.20,866.00-868.00	0.034	alta
bueno	pa-027	7	35.88-39.72,42.08-46.92,395.88-398.12,427.16-430.68,440.60-443.32,490.84-493.96,712.12-715.24	0.081	alta
bueno	pa-028	12	29.12-31.84,39.12-42.92,90.40-92.40,163.36-169.56,179.24-183.16,212.36-216.08,235.72-240.36,316.48-320.60	0.022	alta
bueno	pa-029	2	721.44-723.44,1130.04-1136.16	0.153	alta
bueno	pa-030	3	459.80-462.32,564.72-567.52,571.40-573.40	0.083	alta
bueno	pa-031	13	112.48-114.92,129.16-131.24,165.04-167.72,216.96-219.64,222.40-225.60,287.40-290.40,318.76-320.76,374.08-376.64	0.019	alta
bueno	pa-032	3	45.48-49.88,331.00-334.12,395.32-399.96	0.065	alta
bueno	pa-034	26	34.56-38.32,69.08-71.08,86.92-90.56,101.28-104.68,125.40-127.60,131.76-137.20,219.16-223.16,247.96-252.16	0.045	alta
bueno	pa-035	1	196.24-201.36	0.020	alta
bueno	pa-036	3	77.00-83.40,203.60-211.20,405.20-410.60	0.164	alta
bueno	pa-037	4	106.04-124.04,225.64-238.08,254.40-265.00,437.24-449.00	0.051	alta
bueno	pa-038	1	875.36-877.36	0.067	alta
bueno	pa-039	1	531.64-536.48	0.182	alta
bueno	pa-041	3	166.00-173.00,224.00-227.00,454.00-462.00	0.239	alta
bueno	pa-043	1	0.00-3.00	0.045	alta
bueno	pa-045	6	261.80-270.16,684.72-688.04,725.08-728.08,1068.16-1070.72,1182.44-1184.84,1200.32-1203.32	0.019	alta
bueno	pa-046	15	128.76-130.76,155.28-157.12,188.44-189.96,357.00-360.24,606.36-608.36,621.24-624.60,661.40-664.52,670.08-672.72	0.016	alta
bueno	pa-048	3	227.92-232.28,266.48-269.96,303.64-306.04	0.067	alta
bueno	pa-049	11	269.80-275.08,312.68-321.56,339.20-350.12,480.72-483.80,688.00-691.00,708.00-711.00,725.00-728.00,809.00-813.00	0.037	alta
bueno	pa-051	2	42.72-46.68,254.52-258.56	0.099	alta
bueno	pa-052	1	42.72-46.48	0.066	alta
bueno	pa-054	2	52.44-55.00,99.56-104.52	0.104	alta
bueno	pa-055	25	195.68-199.92,377.60-380.84,463.00-465.12,479.76-481.96,484.64-487.52,502.44-509.44,651.44-654.28,662.56-666.20	0.015	alta
bueno	pa-056	5	459.72-462.08,564.72-567.44,571.44-573.44,1089.00-1091.00,1091.08-1093.72	0.073	alta
bueno	pa-057	1	1129.64-1135.60	0.076	alta
bueno	pa-058	36	23.92-28.16,201.16-204.52,214.72-216.72,270.40-272.28,368.56-372.44,422.28-425.40,706.56-709.76,761.24-763.20	0.035	alta
bueno	pa-059	4	166.92-172.88,332.64-336.56,683.04-685.88,824.24-827.44	0.077	alta
bueno	pa-060	4	150.80-156.32,230.80-234.56,545.96-548.56,571.52-576.40	0.046	alta
bueno	pa-061	12	171.80-173.80,188.56-191.44,322.16-325.04,420.84-424.92,500.24-504.76,653.92-657.16,690.28-697.08,713.28-716.56	0.017	alta
bueno	pa-062	1	297.92-301.28	0.112	alta
bueno	pa-063	1	801.92-803.92	0.122	alta
