id_persona	categoria	forma	recompte_asr	clip_qa	forma_en_qa	estat
pa-007	territorial	Escaldes	4		no-clip	ASR; pendent d'audicio
pa-007	territorial	Massana	2		no-clip	ASR; pendent d'audicio
pa-007	territorial	Ordino	1		no-clip	ASR; pendent d'audicio
pa-007	territorial	Sant Julià	5		no-clip	ASR; pendent d'audicio
pa-007	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	andorrana	1		no-clip	ASR; pendent d'audicio
pa-007	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	comú	1		no-clip	ASR; pendent d'audicio
pa-007	territorial	copríncep	2		no-clip	ASR; pendent d'audicio
pa-007	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	parròquia	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-007	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	a veure	2	clips/pa-008__a-veure__668.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	aleshores	1	clips/pa-008__aleshores__1315.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	bueno	1	clips/pa-008__bueno__969.25.wav	no	ASR; pendent d'audicio
pa-008	discurs	bé	3	clips/pa-008__b__61.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	clar	1	clips/pa-008__clar__841.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	de fet	1	clips/pa-008__de-fet__799.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	diguem	1	clips/pa-008__diguem__374.25.wav	no	ASR; pendent d'audicio
pa-008	discurs	doncs	16	clips/pa-008__doncs__55.25.wav	no	ASR; pendent d'audicio
pa-008	discurs	evidentment	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	llavors	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	no?	3		no-clip	ASR; pendent d'audicio
pa-008	discurs	o sigui	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	per tant	3		no-clip	ASR; pendent d'audicio
pa-008	discurs	perquè	21	clips/pa-008__perqu__55.25.wav	sí	ASR; pendent d'audicio
pa-008	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-008	discurs	és a dir	2	clips/pa-008__s-a-dir__1110.25.wav	sí	ASR; pendent d'audicio
pa-008	territorial	Canillo	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	Escaldes	4		no-clip	ASR; pendent d'audicio
pa-008	territorial	Massana	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	Ordino	3		no-clip	ASR; pendent d'audicio
pa-008	territorial	Sant Julià	3		no-clip	ASR; pendent d'audicio
pa-008	territorial	aiguats	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	andorrana	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	comunal	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	comunals	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	comuns	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	comú	2		no-clip	ASR; pendent d'audicio
pa-008	territorial	copríncep	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	coprínceps	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	padrí	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	parròquia	1		no-clip	ASR; pendent d'audicio
pa-008	territorial	santuari	0		no-clip	ASR; pendent d'audicio
pa-008	territorial	veguer	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	a nivell	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	a veure	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	aleshores	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	aviam	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	bueno	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	bé	2	clips/pa-009__b__557.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	clar	1	clips/pa-009__clar__99.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	de fet	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	diguem	1	clips/pa-009__diguem__60.25.wav	no	ASR; pendent d'audicio
pa-009	discurs	doncs	14	clips/pa-009__doncs__139.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	evidentment	1	clips/pa-009__evidentment__947.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	llavors	1	clips/pa-009__llavors__201.25.wav	no	ASR; pendent d'audicio
pa-009	discurs	no?	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	o sigui	2	clips/pa-009__o-sigui__234.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	per tant	3		no-clip	ASR; pendent d'audicio
pa-009	discurs	perquè	7	clips/pa-009__perqu__349.25.wav	sí	ASR; pendent d'audicio
pa-009	discurs	vull dir	0		no-clip	ASR; pendent d'audicio
pa-009	discurs	és a dir	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	Canillo	2		no-clip	ASR; pendent d'audicio
pa-009	territorial	Escaldes	0		no-clip	ASR; pendent d'audicio
pa-009	territorial	Massana	0		no-clip	ASR; pendent d'audicio
