idDivision	taula	serie	periode	valor	font	actualitzat
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	1999	43.2	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	2004	43.4	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	2009	43.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	2014	43.8	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. CASTELLÀ	2018	43.2	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	1995	10.8	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	1999	9.5	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	2004	10.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	2009	10.5	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	2014	9.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. FRANCÈS	2018	8.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	1995	10.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	1999	10.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	2004	14.7	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	2009	17.9	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	2014	18.6	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. PORTUGUÈS	2018	17.1	Departament de Política Lingüística	2022-01-29
1960	LLENGUA EN QUE VA APRENDRE A PARLAR	LLENGUA EN QUE VA APRENDRE A PARLAR. ANGLÈS	1995	1.7	Departament de Política Lingüística	2022-01-29
